Designator,Mid X,Mid Y,Rotation,Layer
C1,168.5,-104.0,180.0,top
C2,168.0,-110.0,180.0,top
J1,132.0,-153.5,0.0,top
J2,178.0,-153.5,0.0,top
J3,154.11,-154.27,270.0,top
M1,187.96,-118.0,90.0,top
M2,187.96,-114.0,90.0,top
M3,187.96,-110.0,90.0,top
M4,187.96,-106.0,90.0,top
M5,121.96,-118.0,270.0,top
M6,121.96,-114.0,270.0,top
M7,122.0,-110.0,270.0,top
M8,121.985,-106.0,270.0,top
R1,166.223741,-112.751709,90.0,top
U1,152.59,-136.0,270.0,top
U2,155.0,-111.62625,90.0,top
U3,173.644957,-115.0,315.0,top
U4,134.5,-115.0,45.0,top
U5,167.5,-107.0,90.0,top
